species,query_type,region,season,start_year,end_year,prey_level,taxon,pct_items,pct_wt_or_vol,pct_occurrence,pct_unspecified,database_timestamp
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Ovis aries,3,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Marmota monax,4,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Meleagris gallopavo,5,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Didelphis virginiana,5.44,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Procyon lotor,5.88,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Dasypus novemcinctus,5.88,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Canis latrans,5.88,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Sus scrofa,6.97,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Bos taurus juvenile,7.00,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Odocoileus virginianus,14.3,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Bos taurus,15.3,,,,"December 18, 2022 00:00:05 UTC"
Osprey,Prey,all regions,all seasons,1971,1988,Species,Teleostei [teleost fishes],99.9,100,,,"December 18, 2022 00:00:05 UTC"
Peregrine Falcon,Prey,all regions,all seasons,1939,1990,Species,Aves [birds],93.8,99.0,14.2,,"December 18, 2022 00:00:05 UTC"
Peregrine Falcon,Prey,all regions,all seasons,1939,1990,Species,Mammalia [mammals],4.51,0.74,,,"December 18, 2022 00:00:05 UTC"
Black-billed Magpie,Prey,all regions,all seasons,1912,1985,Species,Aves [birds],,0.1,,,"December 18, 2022 00:00:05 UTC"
Black-billed Magpie,Prey,all regions,all seasons,1912,1985,Species,Insecta [insects],,0.1,3,,"December 18, 2022 00:00:05 UTC"
Black-billed Magpie,Prey,all regions,all seasons,1912,1985,Species,Magnoliopsida [dicots],,18.6,100,,"December 18, 2022 00:00:05 UTC"
Black-billed Magpie,Prey,all regions,all seasons,1912,1985,Species,Mammalia [mammals],,0.32,67,,"December 18, 2022 00:00:05 UTC"
Snowy Egret,Prey,all regions,all seasons,1912,2017,Species,Insecta [insects],20.1,2.99,,,"December 18, 2022 00:00:05 UTC"
Snowy Egret,Prey,all regions,all seasons,1912,2017,Species,Malacostraca [malacostracans],16.6,26.0,,,"December 18, 2022 00:00:05 UTC"
Snowy Egret,Prey,all regions,all seasons,1912,2017,Species,Amphibia [amphibians],3.02,2.41,,,"December 18, 2022 00:00:05 UTC"
Snowy Egret,Prey,all regions,all seasons,1912,2017,Species,Reptilia [reptiles],2.61,,,,"December 18, 2022 00:00:05 UTC"
Snowy Egret,Prey,all regions,all seasons,1912,2017,Species,Polychaeta [polychaete worms],1.61,1.65,,,"December 18, 2022 00:00:05 UTC"
Snowy Egret,Prey,all regions,all seasons,1912,2017,Species,Euchelicerata,0.13,0.02,,,"December 18, 2022 00:00:05 UTC"
Snowy Egret,Prey,all regions,all seasons,1912,2017,Species,Clitellata [clitellates],0.00,0.01,,,"December 18, 2022 00:00:05 UTC"
Canada Goose,Prey,all regions,all seasons,1979,2001,Species,Magnoliopsida [dicots],,69.1,,,"December 18, 2022 00:00:05 UTC"
Canada Goose,Prey,all regions,all seasons,1979,2001,Species,Polypodiopsida [ferns],,0.83,,,"December 18, 2022 00:00:05 UTC"
Northern Mockingbird,Prey,all regions,all seasons,1901,1981,Species,Ataenius stercorator,,,1.02,,"December 18, 2022 00:00:05 UTC"
Northern Mockingbird,Prey,all regions,all seasons,1901,1981,Species,Citharexylum spinosum,,,1.02,,"December 18, 2022 00:00:05 UTC"
Northern Mockingbird,Prey,all regions,all seasons,1901,1981,Species,Diaprepes abbreviatus,,,1.02,,"December 18, 2022 00:00:05 UTC"
Northern Mockingbird,Prey,all regions,all seasons,1901,1981,Species,Hamelia patens,,,3.06,,"December 18, 2022 00:00:05 UTC"
Northern Mockingbird,Prey,all regions,all seasons,1901,1981,Species,Juniperus virginiana,0.05,,,,"December 18, 2022 00:00:05 UTC"
Northern Mockingbird,Prey,all regions,all seasons,1901,1981,Species,Odontomachus haematodus,,,2.04,,"December 18, 2022 00:00:05 UTC"
Northern Mockingbird,Prey,all regions,all seasons,1901,1981,Species,Paullinia pinnata,,,1.02,,"December 18, 2022 00:00:05 UTC"
Northern Mockingbird,Prey,all regions,all seasons,1901,1981,Species,Pheidole fallax,,,2.04,,"December 18, 2022 00:00:05 UTC"
Northern Mockingbird,Prey,all regions,all seasons,1901,1981,Species,Roystonea borinquena,,,2.04,,"December 18, 2022 00:00:05 UTC"
Northern Mockingbird,Prey,all regions,all seasons,1901,1981,Species,Scapteriscus didactylus,,0.51,5.10,,"December 18, 2022 00:00:05 UTC"
Northern Mockingbird,Prey,all regions,all seasons,1901,1981,Species,Viburnum prunifolium,0.2,,,,"December 18, 2022 00:00:05 UTC"
Painted Bunting,Prey,all regions,all seasons,1916,1961,Species,Unid. Tracheophyta,,43,,,"December 18, 2022 00:00:05 UTC"
Painted Bunting,Prey,all regions,all seasons,1916,1961,Species,Cenchrus americanus,,33.5,,,"December 18, 2022 00:00:05 UTC"
Painted Bunting,Prey,all regions,all seasons,1916,1961,Species,Alabama argillacea larva,,1.55,,,"December 18, 2022 00:00:05 UTC"
Painted Bunting,Prey,all regions,all seasons,1916,1961,Species,Anthonomus grandis,,1.24,22.5,,"December 18, 2022 00:00:05 UTC"
Horned Lark,Prey,all regions,all seasons,1905,1972,Species,Ambrosia artemisiifolia,8,,,,"December 18, 2022 00:00:05 UTC"
Horned Lark,Prey,all regions,all seasons,1905,1972,Species,Fagopyrum esculentum,10.4,,,,"December 18, 2022 00:00:05 UTC"
Horned Lark,Prey,all regions,all seasons,1905,1972,Species,Otiorhynchus ligustici,0.1,,,,"December 18, 2022 00:00:05 UTC"
Horned Lark,Prey,all regions,all seasons,1905,1972,Species,Setaria pumila,8.8,,,,"December 18, 2022 00:00:05 UTC"
Horned Lark,Prey,all regions,all seasons,1905,1972,Species,Zea mays,,,0.4,,"December 18, 2022 00:00:05 UTC"
