species,query_type,region,season,start_year,end_year,prey_level,taxon,pct_items,pct_wt_or_vol,pct_occurrence,pct_unspecified,database_timestamp
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Digitaria ischaemum,,0.60,8.47,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Digitaria sanguinalis,,0.62,5.41,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Bouteloua curtipendula,,0.69,0.35,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Rhus aromatica,,0.69,3.35,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Ilex opaca,,0.75,2.47,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Echinochloa crus-galli,,0.78,,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Piptochaetium fimbriatum,,0.96,,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Pinus ponderosa,,0.97,9.94,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Sabal palmetto,,0.97,2.23,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Allium macropetalum,,1.01,,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Paspalum notatum,,1.21,10.5,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Avena sativa,11.4,1.44,6.02,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Quercus virginiana,,1.51,2.58,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Taraxacum officinale,,2.24,25.8,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Axonopus fissifolius,,2.5,9.11,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Arctostaphylos pungens,,3.22,7.64,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Juniperus deppeana,,3.43,,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Zea mays,8.63,5.20,14.8,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Baptisia tinctoria,0.35,,,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Fagus grandifolia,11.1,,,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Species,Tsuga canadensis,1.95,,,,"December 18, 2022 00:00:05 UTC"
Tufted Titmouse,Prey,all regions,all seasons,1915,1986,Species,Lymantria dispar larva,7.89,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Unid. Artiodactyla,1.47,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Equus africanus,1.47,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Canis latrans juvenile,1.47,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Odocoileus virginianus juvenile,2.47,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Gallus gallus,2.5,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Dasypus novemcinctus juvenile,2.94,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Procyon lotor juvenile,2.97,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Mephitis mephitis,2.97,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Species,Sus scrofa juvenile,3,,,,"December 18, 2022 00:00:05 UTC"
